"speaker","count","total","rate"
"S0430",4,2567,0.00155823918971562
"S0431",2,733,0.00272851296043656
"S0432",63,28627,0.00220071960037727
"S0433",1,295,0.00338983050847458
"S0434",6,3548,0.00169109357384442
"S0435",23,8792,0.00261601455868972
"S0436",9,9037,0.000995905720925086
"S0437",13,3747,0.00346944222044302
"S0438",2,1720,0.00116279069767442
"S0439",439,205049,0.0021409516749655
"S0440",21,33087,0.000634690361773506
"S0441",158,52726,0.00299662405644274
"S0442",0,1226,0
"S0443",25,11062,0.00225998915205207
"S0444",58,31229,0.00185724807070351
"S0445",8,6971,0.00114761153349591
"S0446",4,4019,0.000995272455834785
"S0447",7,3365,0.00208023774145617
"S0448",11,7241,0.00151912719237674
"S0449",2,1622,0.00123304562268804
"S0450",25,22617,0.00110536322235487
"S0451",24,12435,0.00193003618817853
"S0452",13,6592,0.00197208737864078
"S0453",17,19928,0.000853071055800883
"S0454",356,136946,0.0025995647919618
"S0455",35,27321,0.00128106584678452
"S0456",24,27150,0.000883977900552486
"S0457",3,3988,0.000752256770310933
"S0458",1,3914,0.000255493101686254
"S0459",0,155,0
"S0460",0,5329,0
"S0463",10,5104,0.00195924764890282
"S0464",1,3892,0.00025693730729702
"S0465",2,4608,0.000434027777777778
"S0466",14,13373,0.00104688551559112
"S0467",2,1783,0.00112170499158721
"S0468",1,1926,0.000519210799584631
"S0469",1,983,0.00101729399796541
"S0470",7,3296,0.00212378640776699
"S0471",1,848,0.00117924528301887
"S0472",9,4328,0.00207948243992606
"S0473",1,1410,0.000709219858156028
"S0474",1,1901,0.000526038926880589
"S0475",145,46227,0.00313669500508361
"S0476",29,12536,0.00231333758774729
"S0477",3,420,0.00714285714285714
"S0478",29,5888,0.00492527173913043
"S0479",0,1243,0
"S0480",10,11382,0.000878580214373572
"S0481",20,20051,0.0009974564859608
"S0482",37,17116,0.00216172002804394
"S0483",13,15901,0.000817558644110433
"S0485",34,10178,0.00334053841619179
"S0486",66,36836,0.00179172548593767
"S0487",5,5507,0.000907935355002724
"S0488",9,5444,0.00165319617927994
"S0489",9,7204,0.00124930594114381
"S0491",7,3474,0.00201496833621186
"S0492",31,39808,0.000778737942122187
"S0493",45,69465,0.000647808248758368
"S0494",1,7420,0.000134770889487871
"S0495",0,2035,0
"S0496",9,7629,0.00117970900511207
"S0497",5,13572,0.000368405540819334
"S0498",2,1948,0.00102669404517454
"S0499",1,1254,0.000797448165869219
"S0500",3,2601,0.00115340253748558
"S0501",0,159,0
"S0502",4,2026,0.00197433366238894
"S0503",7,4986,0.00140393100681909
"S0504",2,1331,0.00150262960180316
"S0505",2,5242,0.000381533765738268
"S0506",0,1731,0
"S0507",0,4099,0
"S0508",4,3657,0.00109379272627837
"S0509",45,35878,0.00125425051563632
"S0510",96,41217,0.00232913603610161
"S0511",70,34230,0.00204498977505112
"S0512",22,6283,0.0035015120165526
"S0513",22,7264,0.00302863436123348
"S0514",14,5093,0.00274887099941096
"S0515",12,7547,0.00159003577580496
"S0516",2,2198,0.000909918107370337
"S0517",163,148776,0.00109560681830403
"S0518",34,37083,0.000916862174042014
"S0519",32,37097,0.000862603445022509
"S0520",59,53568,0.00110140382317802
"S0521",32,14050,0.00227758007117438
"S0522",4,4687,0.000853424365265628
"S0523",30,14842,0.00202129093114136
"S0524",6,6360,0.000943396226415094
"S0525",76,158605,0.000479177831720311
"S0526",3,3617,0.000829416643627315
"S0527",1,2587,0.000386548125241593
"S0528",2,1653,0.00120992135511192
"S0529",164,87846,0.00186690344466453
"S0530",187,74687,0.0025037824521001
"S0531",12,5968,0.00201072386058981
"S0532",12,4695,0.00255591054313099
"S0533",1,894,0.00111856823266219
"S0534",3,2945,0.00101867572156197
"S0535",8,1700,0.00470588235294118
"S0536",3,1400,0.00214285714285714
"S0537",4,5124,0.00078064012490242
"S0538",11,13098,0.000839822873721179
"S0539",30,8005,0.00374765771392879
"S0540",25,14445,0.0017307026652821
"S0541",58,21737,0.00266826148962598
"S0542",41,18038,0.00227297926599401
"S0543",80,30437,0.00262837993231922
"S0544",37,17833,0.00207480513654461
"S0545",5,6147,0.000813404912965674
"S0546",0,5301,0
"S0547",6,3831,0.00156617071260767
